paraphrase idx,t0_3b_acc,t0pp_acc,falcon-7b-instruct_acc,mpt-7b-instruct_acc,alpaca-7b_acc,alpaca-13b_acc,flan-t5-small_acc,flan-t5-base_acc,flan-t5-large_acc,flan-t5-xl_acc,flan-t5-xxl_acc,airoboros-13b_acc,nous-hermes-13b_acc,ultralm-13b_acc,vicuna-13b_acc,minotaur-15b_acc
64,0.23,0.14,0.0,0.24,0.0,0.0,0.2,0.09,0.19,0.26,0.32,0.1,0.0,0.0,0.0,0.0
65,0.17,0.12,0.0,0.02,0.0,0.01,0.11,0.03,0.2,0.22,0.32,0.12,0.0,0.0,0.0,0.0
66,0.2,0.12,0.0,0.16,0.0,0.0,0.13,0.02,0.18,0.3,0.25,0.26,0.0,0.0,0.0,0.0
67,0.12,0.14,0.12,0.12,0.0,0.0,0.15,0.08,0.18,0.34,0.26,0.04,0.0,0.0,0.0,0.0
68,0.14,0.1,0.0,0.03,0.0,0.0,0.26,0.22,0.24,0.24,0.14,0.09,0.0,0.0,0.0,0.0
69,0.11,0.16,0.0,0.06,0.02,0.02,0.08,0.06,0.21,0.2,0.21,0.07,0.0,0.0,0.0,0.0
70,0.29,0.14,0.0,0.34,0.03,0.0,0.19,0.05,0.22,0.25,0.23,0.06,0.0,0.0,0.0,0.0
71,0.16,0.1,0.0,0.02,0.0,0.0,0.17,0.07,0.21,0.2,0.3,0.17,0.0,0.0,0.0,0.0
72,0.25,0.15,0.01,0.12,0.0,0.0,0.14,0.15,0.19,0.19,0.22,0.18,0.0,0.0,0.0,0.0
73,0.16,0.12,0.02,0.0,0.0,0.0,0.13,0.1,0.2,0.26,0.27,0.21,0.0,0.0,0.0,0.0
74,0.19,0.14,0.0,0.28,0.0,0.01,0.11,0.06,0.17,0.19,0.28,0.26,0.0,0.0,0.0,0.0
75,0.08,0.13,0.0,0.01,0.01,0.0,0.16,0.18,0.21,0.24,0.22,0.14,0.0,0.0,0.0,0.0
76,0.18,0.15,0.05,0.12,0.01,0.0,0.24,0.19,0.21,0.29,0.18,0.04,0.0,0.0,0.0,0.0
77,0.14,0.11,0.01,0.02,0.0,0.01,0.12,0.06,0.2,0.24,0.3,0.21,0.0,0.0,0.0,0.0
78,0.16,0.13,0.0,0.01,0.0,0.0,0.18,0.06,0.22,0.22,0.22,0.09,0.0,0.0,0.0,0.0
79,0.17,0.15,0.0,0.03,0.0,0.0,0.11,0.04,0.26,0.28,0.26,0.06,0.0,0.0,0.01,0.0
80,0.28,0.2,0.0,0.19,0.0,0.0,0.18,0.1,0.24,0.19,0.18,0.08,0.0,0.0,0.0,0.0
81,0.12,0.16,0.0,0.0,0.0,0.0,0.16,0.08,0.2,0.26,0.31,0.18,0.0,0.0,0.0,0.0
82,0.23,0.15,0.0,0.07,0.0,0.0,0.13,0.17,0.21,0.28,0.24,0.17,0.0,0.0,0.0,0.0
83,0.28,0.14,0.01,0.33,0.0,0.0,0.2,0.04,0.19,0.22,0.25,0.03,0.0,0.0,0.0,0.0
84,0.19,0.19,0.03,0.0,0.0,0.0,0.21,0.02,0.16,0.15,0.18,0.04,0.0,0.0,0.0,0.0
85,0.19,0.11,0.0,0.02,0.0,0.01,0.11,0.02,0.22,0.23,0.3,0.23,0.0,0.0,0.0,0.0
86,0.26,0.12,0.02,0.22,0.0,0.0,0.14,0.17,0.19,0.27,0.26,0.17,0.0,0.0,0.0,0.0
87,0.18,0.16,0.0,0.23,0.0,0.0,0.08,0.07,0.19,0.25,0.3,0.21,0.0,0.0,0.01,0.0
88,0.18,0.17,0.0,0.05,0.0,0.0,0.18,0.07,0.17,0.22,0.24,0.13,0.0,0.0,0.0,0.0
89,0.25,0.16,0.02,0.12,0.0,0.0,0.18,0.14,0.19,0.28,0.24,0.22,0.0,0.0,0.0,0.0
90,0.21,0.1,0.0,0.09,0.0,0.0,0.1,0.04,0.13,0.21,0.29,0.26,0.0,0.0,0.0,0.0
91,0.11,0.08,0.0,0.01,0.01,0.0,0.15,0.19,0.24,0.25,0.17,0.08,0.0,0.0,0.0,0.0
92,0.32,0.18,0.02,0.11,0.0,0.0,0.14,0.08,0.19,0.2,0.28,0.08,0.0,0.0,0.0,0.0
93,0.15,0.14,0.0,0.11,0.0,0.0,0.1,0.12,0.2,0.26,0.26,0.2,0.0,0.0,0.0,0.0
94,0.26,0.16,0.0,0.05,0.0,0.0,0.17,0.12,0.16,0.19,0.25,0.21,0.0,0.0,0.0,0.0
95,0.17,0.13,0.0,0.06,0.0,0.0,0.15,0.03,0.23,0.29,0.31,0.25,0.0,0.0,0.0,0.0
96,0.28,0.24,0.01,0.15,0.03,0.02,0.18,0.03,0.21,0.24,0.26,0.15,0.0,0.0,0.01,0.0
97,0.15,0.18,0.01,0.0,0.06,0.0,0.21,0.11,0.18,0.25,0.23,0.12,0.0,0.0,0.0,0.0
98,0.12,0.15,0.0,0.0,0.12,0.02,0.18,0.03,0.2,0.23,0.29,0.04,0.0,0.0,0.0,0.0
99,0.1,0.11,0.02,0.04,0.0,0.0,0.16,0.09,0.17,0.3,0.25,0.1,0.0,0.0,0.0,0.0
100,0.16,0.17,0.04,0.17,0.21,0.02,0.17,0.05,0.25,0.21,0.24,0.02,0.0,0.0,0.0,0.0
101,0.27,0.16,0.01,0.09,0.0,0.0,0.17,0.1,0.19,0.23,0.27,0.13,0.0,0.0,0.0,0.0
102,0.18,0.12,0.0,0.08,0.0,0.0,0.17,0.04,0.22,0.3,0.36,0.22,0.0,0.0,0.0,0.0
103,0.18,0.19,0.0,0.07,0.01,0.0,0.16,0.05,0.22,0.19,0.31,0.23,0.0,0.0,0.0,0.0
104,0.17,0.15,0.02,0.01,0.02,0.01,0.19,0.12,0.2,0.22,0.22,0.15,0.0,0.0,0.0,0.0
105,0.15,0.15,0.03,0.18,0.23,0.02,0.26,0.06,0.21,0.21,0.31,0.01,0.0,0.0,0.0,0.0
106,0.15,0.13,0.05,0.07,0.0,0.12,0.15,0.03,0.21,0.25,0.41,0.24,0.0,0.0,0.0,0.0
107,0.16,0.19,0.0,0.24,0.0,0.01,0.1,0.05,0.21,0.2,0.27,0.15,0.0,0.0,0.0,0.0
108,0.29,0.17,0.04,0.21,0.1,0.01,0.19,0.1,0.2,0.28,0.28,0.02,0.0,0.0,0.0,0.0
109,0.24,0.16,0.03,0.09,0.19,0.04,0.22,0.07,0.25,0.24,0.32,0.07,0.0,0.0,0.02,0.0
110,0.17,0.14,0.0,0.1,0.0,0.01,0.1,0.14,0.19,0.24,0.26,0.26,0.0,0.0,0.0,0.0
111,0.13,0.16,0.01,0.0,0.0,0.01,0.15,0.06,0.19,0.24,0.26,0.16,0.0,0.0,0.0,0.0
112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,0.09,0.14,0.04,0.07,0.0,0.0,0.22,0.17,0.15,0.22,0.08,0.14,0.0,0.0,0.0,0.0
114,0.12,0.13,0.0,0.0,0.0,0.0,0.1,0.14,0.15,0.32,0.31,0.25,0.0,0.0,0.0,0.0
115,0.14,0.18,0.02,0.18,0.0,0.01,0.13,0.15,0.14,0.2,0.19,0.17,0.03,0.0,0.01,0.01
116,0.13,0.13,0.02,0.02,0.01,0.0,0.14,0.11,0.25,0.25,0.26,0.21,0.0,0.0,0.0,0.0
117,0.15,0.1,0.0,0.05,0.01,0.0,0.12,0.04,0.27,0.25,0.32,0.23,0.0,0.0,0.0,0.0
118,0.28,0.12,0.01,0.19,0.0,0.0,0.2,0.08,0.19,0.25,0.19,0.03,0.0,0.0,0.0,0.0
119,0.29,0.13,0.0,0.33,0.01,0.01,0.16,0.04,0.18,0.21,0.24,0.01,0.0,0.0,0.0,0.0
120,0.17,0.12,0.0,0.0,0.02,0.01,0.15,0.03,0.25,0.25,0.29,0.12,0.0,0.0,0.0,0.0
121,0.08,0.2,0.01,0.07,0.02,0.01,0.13,0.06,0.2,0.2,0.22,0.07,0.0,0.0,0.01,0.0
122,0.31,0.15,0.01,0.17,0.09,0.0,0.18,0.07,0.22,0.21,0.33,0.09,0.0,0.0,0.0,0.0
123,0.17,0.11,0.0,0.02,0.0,0.0,0.11,0.17,0.23,0.29,0.31,0.22,0.0,0.0,0.0,0.0
124,0.18,0.08,0.0,0.02,0.0,0.0,0.07,0.02,0.21,0.21,0.22,0.15,0.0,0.0,0.0,0.0
125,0.31,0.16,0.02,0.21,0.0,0.0,0.19,0.11,0.16,0.26,0.25,0.11,0.0,0.0,0.0,0.0
126,0.18,0.14,0.01,0.1,0.0,0.0,0.09,0.09,0.25,0.24,0.23,0.16,0.0,0.0,0.0,0.0
127,0.22,0.09,0.03,0.21,0.0,0.01,0.04,0.04,0.13,0.19,0.15,0.22,0.0,0.0,0.0,0.0
128,0.17,0.19,0.0,0.2,0.0,0.0,0.09,0.07,0.15,0.22,0.26,0.24,0.0,0.0,0.0,0.0
129,0.16,0.13,0.0,0.0,0.0,0.0,0.14,0.11,0.23,0.2,0.29,0.22,0.0,0.0,0.0,0.0
130,0.18,0.16,0.03,0.26,0.01,0.0,0.16,0.05,0.24,0.18,0.28,0.03,0.0,0.0,0.0,0.0
131,0.2,0.17,0.01,0.05,0.0,0.0,0.12,0.09,0.21,0.25,0.24,0.21,0.0,0.0,0.0,0.0
132,0.18,0.12,0.0,0.02,0.0,0.01,0.13,0.02,0.28,0.19,0.31,0.13,0.0,0.0,0.0,0.0
133,0.29,0.17,0.0,0.18,0.06,0.0,0.2,0.06,0.22,0.24,0.33,0.07,0.0,0.0,0.0,0.0
134,0.17,0.15,0.0,0.01,0.0,0.0,0.15,0.03,0.18,0.23,0.26,0.23,0.0,0.0,0.0,0.0
135,0.18,0.12,0.0,0.21,0.0,0.03,0.13,0.02,0.16,0.22,0.19,0.14,0.0,0.0,0.0,0.0
136,0.2,0.15,0.0,0.16,0.0,0.0,0.08,0.07,0.19,0.22,0.29,0.24,0.0,0.0,0.01,0.0
137,0.25,0.18,0.02,0.11,0.0,0.0,0.19,0.14,0.21,0.28,0.24,0.12,0.0,0.0,0.0,0.0
138,0.23,0.13,0.01,0.11,0.0,0.0,0.19,0.14,0.19,0.22,0.27,0.1,0.0,0.0,0.0,0.0
139,0.14,0.15,0.0,0.02,0.02,0.01,0.09,0.04,0.26,0.24,0.31,0.27,0.0,0.0,0.0,0.0
140,0.18,0.16,0.0,0.21,0.0,0.0,0.09,0.14,0.23,0.22,0.23,0.19,0.0,0.0,0.0,0.0
141,0.26,0.18,0.01,0.23,0.17,0.01,0.17,0.1,0.19,0.23,0.29,0.01,0.0,0.0,0.0,0.0
142,0.27,0.2,0.02,0.06,0.0,0.0,0.22,0.05,0.18,0.19,0.22,0.07,0.0,0.0,0.01,0.0
143,0.19,0.13,0.05,0.22,0.04,0.01,0.08,0.1,0.28,0.29,0.23,0.02,0.01,0.0,0.0,0.0
144,0.21,0.11,0.0,0.03,0.0,0.0,0.13,0.09,0.23,0.22,0.26,0.14,0.0,0.0,0.0,0.0
145,0.12,0.19,0.01,0.18,0.0,0.0,0.13,0.06,0.2,0.19,0.24,0.21,0.0,0.0,0.0,0.0
146,0.25,0.23,0.02,0.15,0.03,0.01,0.25,0.33,0.41,0.3,0.32,0.01,0.0,0.0,0.0,0.0
147,0.16,0.16,0.04,0.01,0.0,0.0,0.13,0.09,0.21,0.21,0.2,0.08,0.0,0.0,0.0,0.0
148,0.16,0.12,0.02,0.26,0.01,0.05,0.14,0.03,0.18,0.24,0.2,0.14,0.0,0.0,0.0,0.0
149,0.25,0.12,0.03,0.05,0.01,0.0,0.18,0.19,0.2,0.2,0.23,0.07,0.0,0.0,0.0,0.0
150,0.14,0.16,0.02,0.17,0.19,0.02,0.19,0.07,0.25,0.21,0.3,0.01,0.0,0.0,0.01,0.0
151,0.16,0.12,0.0,0.03,0.0,0.01,0.08,0.03,0.26,0.19,0.29,0.1,0.0,0.0,0.0,0.0
152,0.18,0.17,0.0,0.02,0.01,0.0,0.19,0.12,0.15,0.22,0.22,0.19,0.0,0.0,0.0,0.0
153,0.15,0.13,0.0,0.19,0.0,0.0,0.13,0.07,0.21,0.27,0.24,0.2,0.0,0.0,0.0,0.0
154,0.13,0.1,0.02,0.01,0.01,0.01,0.13,0.09,0.21,0.29,0.26,0.18,0.0,0.0,0.0,0.0
155,0.16,0.14,0.0,0.16,0.0,0.0,0.09,0.06,0.19,0.22,0.23,0.13,0.0,0.0,0.0,0.0
156,0.24,0.16,0.0,0.06,0.01,0.0,0.2,0.06,0.24,0.18,0.26,0.15,0.0,0.0,0.0,0.0
157,0.11,0.12,0.02,0.01,0.0,0.01,0.19,0.2,0.24,0.27,0.12,0.07,0.0,0.0,0.0,0.0
158,0.13,0.15,0.0,0.1,0.03,0.0,0.0,0.05,0.07,0.13,0.14,0.21,0.01,0.01,0.0,0.0
159,0.11,0.2,0.0,0.14,0.0,0.01,0.12,0.17,0.2,0.25,0.23,0.11,0.0,0.0,0.0,0.0
160,0.15,0.17,0.04,0.12,0.0,0.0,0.33,0.22,0.18,0.3,0.2,0.1,0.0,0.0,0.01,0.0
161,0.17,0.12,0.0,0.0,0.0,0.0,0.1,0.16,0.24,0.3,0.32,0.2,0.0,0.0,0.0,0.0
162,0.26,0.16,0.03,0.19,0.0,0.0,0.17,0.09,0.18,0.26,0.26,0.11,0.0,0.0,0.0,0.0
163,0.12,0.14,0.02,0.12,0.05,0.01,0.22,0.22,0.22,0.18,0.2,0.16,0.0,0.0,0.01,0.0
164,0.14,0.13,0.0,0.01,0.02,0.01,0.1,0.13,0.19,0.28,0.19,0.14,0.0,0.0,0.0,0.0
165,0.17,0.13,0.02,0.29,0.0,0.0,0.17,0.19,0.23,0.23,0.16,0.01,0.0,0.0,0.0,0.0
166,0.12,0.17,0.01,0.14,0.06,0.03,0.08,0.15,0.15,0.16,0.19,0.05,0.01,0.02,0.0,0.0
167,0.14,0.14,0.0,0.24,0.01,0.01,0.14,0.18,0.18,0.23,0.17,0.09,0.0,0.0,0.0,0.01
168,0.13,0.14,0.0,0.15,0.0,0.03,0.14,0.1,0.21,0.3,0.21,0.17,0.0,0.0,0.0,0.0
169,0.13,0.13,0.0,0.01,0.0,0.0,0.19,0.19,0.23,0.26,0.15,0.15,0.0,0.0,0.0,0.0
170,0.05,0.22,0.04,0.09,0.3,0.2,0.14,0.26,0.36,0.3,0.23,0.1,0.01,0.0,0.33,0.07
171,0.11,0.23,0.09,0.24,0.29,0.21,0.13,0.13,0.32,0.26,0.3,0.25,0.19,0.01,0.34,0.28
172,0.15,0.27,0.06,0.24,0.3,0.2,0.17,0.16,0.29,0.29,0.26,0.27,0.32,0.0,0.4,0.28
173,0.21,0.23,0.05,0.11,0.2,0.2,0.13,0.04,0.18,0.17,0.31,0.09,0.0,0.0,0.38,0.02
174,0.12,0.28,0.05,0.01,0.24,0.18,0.04,0.04,0.24,0.27,0.26,0.01,0.01,0.0,0.14,0.0
175,0.1,0.19,0.04,0.03,0.28,0.2,0.16,0.23,0.37,0.32,0.23,0.21,0.09,0.0,0.26,0.06
176,0.16,0.28,0.09,0.17,0.25,0.27,0.13,0.15,0.36,0.23,0.35,0.26,0.19,0.02,0.31,0.31
177,0.15,0.22,0.07,0.16,0.25,0.29,0.15,0.27,0.35,0.21,0.31,0.29,0.22,0.0,0.37,0.33
178,0.1,0.23,0.13,0.02,0.24,0.17,0.02,0.01,0.31,0.2,0.25,0.22,0.06,0.0,0.3,0.06
179,0.1,0.14,0.07,0.05,0.36,0.22,0.14,0.26,0.34,0.29,0.21,0.22,0.13,0.0,0.27,0.04
180,0.11,0.27,0.05,0.22,0.26,0.22,0.18,0.1,0.29,0.22,0.29,0.28,0.25,0.0,0.39,0.32
181,0.25,0.35,0.08,0.09,0.16,0.02,0.18,0.34,0.27,0.26,0.27,0.0,0.01,0.0,0.22,0.0
182,0.13,0.28,0.06,0.23,0.29,0.23,0.21,0.15,0.3,0.32,0.25,0.27,0.22,0.0,0.36,0.2
183,0.1,0.28,0.19,0.17,0.18,0.13,0.33,0.25,0.2,0.23,0.35,0.19,0.13,0.0,0.29,0.02
184,0.02,0.2,0.04,0.06,0.16,0.22,0.16,0.31,0.34,0.25,0.21,0.15,0.0,0.0,0.26,0.0
185,0.12,0.25,0.13,0.22,0.35,0.22,0.18,0.07,0.35,0.25,0.26,0.26,0.19,0.01,0.31,0.26
186,0.04,0.18,0.08,0.16,0.07,0.06,0.3,0.23,0.34,0.2,0.16,0.16,0.13,0.02,0.32,0.0
187,0.0,0.21,0.02,0.0,0.25,0.17,0.1,0.24,0.36,0.3,0.26,0.24,0.15,0.0,0.32,0.12
188,0.11,0.31,0.07,0.18,0.25,0.25,0.17,0.21,0.29,0.28,0.27,0.29,0.33,0.0,0.4,0.32
189,0.13,0.28,0.06,0.14,0.26,0.28,0.17,0.23,0.32,0.25,0.3,0.27,0.31,0.0,0.34,0.26
190,0.1,0.28,0.05,0.03,0.37,0.21,0.11,0.27,0.37,0.25,0.25,0.18,0.09,0.0,0.36,0.01
191,0.23,0.26,0.12,0.15,0.22,0.2,0.34,0.2,0.28,0.28,0.29,0.18,0.18,0.01,0.2,0.19
192,0.0,0.21,0.04,0.12,0.24,0.14,0.03,0.13,0.25,0.26,0.3,0.03,0.05,0.0,0.2,0.0
193,0.11,0.3,0.07,0.13,0.28,0.22,0.14,0.24,0.34,0.32,0.28,0.27,0.31,0.0,0.42,0.29
194,0.12,0.28,0.08,0.23,0.38,0.26,0.18,0.22,0.32,0.32,0.3,0.27,0.28,0.0,0.35,0.27
195,0.04,0.24,0.03,0.0,0.32,0.18,0.21,0.05,0.31,0.23,0.22,0.25,0.23,0.02,0.25,0.16
196,0.0,0.25,0.03,0.04,0.27,0.14,0.18,0.18,0.36,0.3,0.25,0.19,0.14,0.0,0.29,0.1
197,0.09,0.26,0.07,0.14,0.26,0.22,0.21,0.22,0.32,0.28,0.29,0.27,0.28,0.01,0.39,0.29
198,0.0,0.22,0.04,0.08,0.25,0.21,0.16,0.09,0.32,0.26,0.23,0.08,0.1,0.0,0.29,0.06
199,0.12,0.27,0.07,0.16,0.25,0.25,0.15,0.21,0.32,0.15,0.27,0.27,0.37,0.0,0.39,0.34
200,0.1,0.28,0.08,0.22,0.29,0.23,0.18,0.11,0.29,0.27,0.27,0.28,0.26,0.0,0.39,0.29
201,0.15,0.27,0.07,0.2,0.28,0.27,0.21,0.21,0.32,0.24,0.28,0.27,0.34,0.0,0.4,0.33
202,0.08,0.2,0.01,0.13,0.26,0.26,0.24,0.21,0.28,0.29,0.27,0.27,0.07,0.0,0.3,0.11
203,0.12,0.21,0.07,0.14,0.21,0.25,0.13,0.26,0.3,0.24,0.28,0.27,0.14,0.0,0.37,0.27
204,0.14,0.26,0.05,0.22,0.3,0.26,0.19,0.12,0.3,0.2,0.27,0.28,0.29,0.0,0.41,0.28
205,0.15,0.29,0.07,0.16,0.28,0.25,0.16,0.26,0.3,0.26,0.27,0.27,0.33,0.0,0.39,0.29
206,0.13,0.24,0.07,0.16,0.27,0.22,0.13,0.16,0.29,0.24,0.25,0.27,0.18,0.0,0.4,0.27
