paraphrase idx,t0_3b_acc,t0pp_acc,falcon-7b-instruct_acc,mpt-7b-instruct_acc,alpaca-7b_acc,alpaca-13b_acc,flan-t5-small_acc,flan-t5-base_acc,flan-t5-large_acc,flan-t5-xl_acc,flan-t5-xxl_acc,airoboros-13b_acc,nous-hermes-13b_acc,ultralm-13b_acc,vicuna-13b_acc,minotaur-15b_acc
144,0.15,0.12,0.05,0.13,0.0,0.57,0.03,0.08,0.05,0.09,0.2,0.27,0.17,0.06,0.12,0.05
145,0.17,0.13,0.01,0.09,0.0,0.46,0.1,0.1,0.1,0.15,0.33,0.2,0.15,0.04,0.11,0.07
146,0.1,0.13,0.01,0.08,0.02,0.56,0.12,0.1,0.1,0.09,0.2,0.2,0.14,0.06,0.13,0.04
147,0.25,0.13,0.16,0.17,0.0,0.49,0.09,0.12,0.09,0.07,0.16,0.33,0.15,0.13,0.17,0.15
148,0.17,0.09,0.01,0.06,0.01,0.6,0.27,0.1,0.2,0.15,0.19,0.28,0.14,0.06,0.11,0.06
149,0.11,0.08,0.03,0.17,0.0,0.64,0.13,0.12,0.11,0.16,0.2,0.31,0.13,0.03,0.16,0.08
150,0.12,0.06,0.03,0.1,0.0,0.53,0.13,0.11,0.1,0.12,0.18,0.26,0.12,0.07,0.17,0.07
151,0.08,0.14,0.02,0.09,0.01,0.57,0.23,0.1,0.17,0.15,0.21,0.26,0.19,0.07,0.21,0.09
152,0.1,0.11,0.07,0.05,0.0,0.56,0.08,0.09,0.14,0.19,0.24,0.29,0.16,0.04,0.11,0.08
153,0.09,0.1,0.01,0.14,0.0,0.69,0.17,0.11,0.09,0.16,0.19,0.28,0.13,0.05,0.18,0.08
154,0.11,0.11,0.03,0.04,0.0,0.52,0.27,0.07,0.1,0.2,0.28,0.25,0.13,0.06,0.08,0.12
155,0.13,0.11,0.03,0.13,0.0,0.51,0.13,0.09,0.13,0.09,0.19,0.33,0.24,0.1,0.14,0.12
156,0.07,0.1,0.01,0.16,0.0,0.6,0.16,0.06,0.12,0.12,0.24,0.21,0.14,0.02,0.18,0.03
157,0.08,0.09,0.01,0.03,0.01,0.26,0.03,0.07,0.1,0.05,0.15,0.17,0.02,0.04,0.0,0.06
158,0.16,0.1,0.01,0.17,0.0,0.69,0.11,0.11,0.11,0.04,0.17,0.25,0.22,0.05,0.26,0.06
159,0.09,0.15,0.05,0.03,0.0,0.52,0.19,0.09,0.09,0.15,0.2,0.23,0.14,0.04,0.06,0.08
160,0.18,0.12,0.37,0.12,0.0,0.35,0.13,0.09,0.05,0.13,0.2,0.2,0.05,0.04,0.34,0.12
161,0.14,0.12,0.1,0.09,0.07,0.42,0.08,0.19,0.09,0.08,0.2,0.14,0.14,0.74,0.27,0.06
162,0.1,0.12,0.06,0.12,0.04,0.24,0.15,0.08,0.11,0.12,0.23,0.27,0.1,0.03,0.22,0.1
163,0.15,0.14,0.08,0.13,0.0,0.53,0.16,0.11,0.16,0.17,0.23,0.25,0.21,0.1,0.13,0.07
164,0.15,0.2,0.08,0.11,0.07,0.42,0.1,0.1,0.09,0.15,0.15,0.21,0.06,0.06,0.26,0.12
165,0.1,0.17,0.17,0.07,0.02,0.31,0.06,0.13,0.1,0.09,0.23,0.19,0.15,0.07,0.19,0.11
166,0.15,0.15,0.08,0.11,0.02,0.35,0.07,0.05,0.09,0.18,0.23,0.27,0.15,0.08,0.23,0.05
167,0.26,0.16,0.29,0.08,0.12,0.25,0.08,0.09,0.13,0.13,0.26,0.21,0.15,0.01,0.11,0.12
168,0.14,0.1,0.07,0.13,0.11,0.2,0.13,0.05,0.05,0.11,0.13,0.19,0.18,0.04,0.15,0.09
169,0.21,0.13,0.05,0.09,0.0,0.26,0.05,0.08,0.14,0.22,0.3,0.21,0.12,0.08,0.16,0.09
170,0.15,0.15,0.18,0.08,0.01,0.4,0.22,0.03,0.12,0.14,0.2,0.21,0.1,0.04,0.4,0.09
171,0.12,0.13,0.05,0.13,0.0,0.53,0.16,0.11,0.11,0.16,0.19,0.2,0.15,0.08,0.22,0.11
172,0.15,0.08,0.18,0.08,0.11,0.26,0.07,0.12,0.11,0.07,0.24,0.21,0.2,0.03,0.05,0.1
173,0.18,0.12,0.03,0.08,0.0,0.59,0.14,0.12,0.15,0.07,0.15,0.19,0.09,0.05,0.12,0.08
174,0.12,0.13,0.13,0.18,0.08,0.36,0.04,0.1,0.13,0.1,0.23,0.2,0.16,0.08,0.06,0.06
175,0.09,0.09,0.06,0.08,0.0,0.56,0.24,0.11,0.06,0.12,0.2,0.14,0.15,0.06,0.13,0.07
176,0.11,0.09,0.04,0.05,0.04,0.41,0.09,0.09,0.19,0.2,0.34,0.23,0.17,0.07,0.17,0.04
177,0.2,0.11,0.03,0.2,0.0,0.29,0.09,0.11,0.17,0.14,0.16,0.26,0.21,0.06,0.17,0.1
178,0.18,0.12,0.04,0.05,0.0,0.45,0.05,0.06,0.08,0.1,0.15,0.12,0.06,0.02,0.15,0.06
179,0.12,0.1,0.05,0.13,0.0,0.58,0.14,0.05,0.1,0.19,0.16,0.25,0.09,0.06,0.11,0.06
180,0.08,0.74,0.13,0.29,0.29,0.1,0.04,0.01,0.04,0.06,0.07,0.34,0.29,0.11,0.06,0.07
181,0.09,0.06,0.04,0.04,0.1,0.08,0.22,0.12,0.1,0.06,0.13,0.24,0.09,0.08,0.28,0.07
182,0.06,0.11,0.02,0.05,0.08,0.11,0.25,0.18,0.09,0.1,0.21,0.22,0.09,0.06,0.22,0.06
183,0.11,0.1,0.01,0.11,0.13,0.11,0.11,0.11,0.14,0.14,0.29,0.19,0.14,0.12,0.21,0.07
184,0.1,0.17,0.03,0.1,0.11,0.04,0.17,0.06,0.1,0.08,0.18,0.26,0.14,0.09,0.25,0.09
185,0.15,0.1,0.03,0.09,0.05,0.03,0.25,0.19,0.23,0.09,0.11,0.13,0.06,0.07,0.08,0.03
186,0.08,0.13,0.07,0.08,0.17,0.07,0.17,0.1,0.1,0.08,0.19,0.26,0.16,0.03,0.28,0.04
187,0.08,0.16,0.06,0.02,0.11,0.03,0.12,0.15,0.1,0.27,0.14,0.16,0.08,0.03,0.19,0.05
188,0.13,0.11,0.02,0.08,0.12,0.04,0.28,0.07,0.12,0.07,0.34,0.19,0.07,0.03,0.15,0.04
189,0.1,0.12,0.04,0.07,0.09,0.03,0.24,0.04,0.13,0.13,0.23,0.25,0.16,0.06,0.35,0.08
190,0.11,0.06,0.04,0.03,0.05,0.01,0.21,0.09,0.17,0.08,0.12,0.11,0.08,0.04,0.06,0.03
191,0.09,0.08,0.12,0.23,0.02,0.0,0.19,0.07,0.06,0.1,0.16,0.28,0.06,0.03,0.0,0.06
192,0.08,0.14,0.0,0.09,0.02,0.0,0.0,0.0,0.1,0.03,0.14,0.25,0.12,0.1,0.02,0.06
193,0.14,0.11,0.06,0.07,0.29,0.1,0.0,0.0,0.1,0.09,0.16,0.26,0.09,0.08,0.05,0.06
194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,0.08,0.14,0.03,0.13,0.15,0.05,0.19,0.16,0.11,0.12,0.26,0.25,0.15,0.1,0.25,0.07
196,0.09,0.09,0.05,0.08,0.16,0.02,0.24,0.05,0.12,0.11,0.29,0.24,0.11,0.02,0.25,0.06
197,0.12,0.08,0.07,0.14,0.06,0.03,0.31,0.13,0.13,0.11,0.18,0.2,0.08,0.06,0.15,0.07
198,0.12,0.02,0.02,0.23,0.01,0.1,0.62,0.13,0.2,0.92,0.15,0.05,0.05,0.42,0.02,0.05
199,0.14,0.14,0.03,0.17,0.14,0.02,0.19,0.07,0.12,0.1,0.2,0.21,0.11,0.04,0.15,0.05
200,0.12,0.11,0.02,0.03,0.17,0.03,0.29,0.12,0.15,0.09,0.24,0.21,0.08,0.08,0.17,0.06
201,0.13,0.1,0.04,0.06,0.11,0.03,0.1,0.07,0.13,0.16,0.26,0.13,0.1,0.1,0.07,0.04
202,0.11,0.11,0.02,0.02,0.09,0.03,0.12,0.16,0.18,0.26,0.22,0.15,0.08,0.05,0.15,0.09
203,0.09,0.09,0.06,0.09,0.16,0.03,0.1,0.16,0.09,0.25,0.23,0.12,0.11,0.06,0.21,0.04
204,0.34,0.46,0.54,0.72,0.88,0.96,0.11,0.29,0.38,0.35,0.61,0.73,0.67,0.42,0.44,0.69
205,0.1,0.14,0.0,0.05,0.11,0.07,0.26,0.11,0.14,0.1,0.2,0.22,0.09,0.06,0.25,0.03
206,0.12,0.11,0.06,0.04,0.11,0.04,0.0,0.1,0.1,0.09,0.15,0.13,0.06,0.02,0.13,0.02
