paraphrase idx,falcon-7b-instruct_acc,mpt-7b-instruct_acc,flan-t5-xl_acc,flan-t5-xxl_acc,t0pp_acc,alpaca-13b_acc,airoboros-13b_acc,nous-hermes-13b_acc,ultralm-13b_acc,vicuna-13b_acc,minotaur-15b_acc
41,0.24,0.23,0.53,0.55,0.02,0.32,0.31,0.13,0.13,0.34,0.01
42,0.17,0.15,0.54,0.5,0.02,0.33,0.32,0.09,0.07,0.34,0.0
43,0.21,0.17,0.55,0.57,0.03,0.3,0.31,0.1,0.15,0.38,0.03
44,0.25,0.15,0.51,0.55,0.01,0.28,0.25,0.16,0.16,0.28,0.0
45,0.15,0.18,0.55,0.56,0.0,0.29,0.33,0.16,0.2,0.27,0.01
46,0.22,0.14,0.54,0.55,0.02,0.25,0.37,0.03,0.25,0.31,0.0
47,0.21,0.15,0.52,0.52,0.04,0.31,0.31,0.02,0.18,0.34,0.0
48,0.26,0.16,0.5,0.51,0.0,0.24,0.28,0.04,0.23,0.32,0.0
49,0.21,0.12,0.51,0.55,0.0,0.28,0.33,0.02,0.19,0.4,0.01
50,0.23,0.11,0.49,0.57,0.02,0.27,0.35,0.08,0.12,0.39,0.01
51,0.21,0.18,0.51,0.53,0.07,0.27,0.21,0.0,0.02,0.32,0.0
52,0.2,0.11,0.56,0.53,0.29,0.29,0.3,0.01,0.18,0.36,0.0
53,0.17,0.13,0.5,0.52,0.27,0.22,0.21,0.0,0.05,0.33,0.0
54,0.26,0.13,0.53,0.54,0.16,0.26,0.24,0.01,0.21,0.37,0.0
55,0.22,0.06,0.52,0.56,0.24,0.25,0.25,0.02,0.26,0.32,0.01
56,0.22,0.11,0.53,0.54,0.17,0.26,0.22,0.0,0.22,0.3,0.02
57,0.22,0.17,0.54,0.51,0.19,0.33,0.28,0.0,0.04,0.35,0.0
58,0.23,0.08,0.52,0.54,0.28,0.27,0.18,0.0,0.23,0.27,0.0
59,0.24,0.09,0.54,0.55,0.22,0.26,0.17,0.01,0.13,0.3,0.0
60,0.21,0.16,0.53,0.55,0.15,0.33,0.19,0.02,0.13,0.27,0.0
61,0.2,0.13,0.55,0.56,0.22,0.36,0.16,0.0,0.2,0.27,0.0
62,0.19,0.14,0.51,0.57,0.35,0.37,0.34,0.02,0.0,0.42,0.0
63,0.26,0.12,0.57,0.54,0.3,0.39,0.33,0.0,0.04,0.42,0.0
64,0.21,0.11,0.48,0.55,0.28,0.34,0.35,0.0,0.01,0.34,0.0
65,0.2,0.11,0.41,0.57,0.28,0.26,0.23,0.0,0.06,0.37,0.0
66,0.19,0.13,0.54,0.54,0.3,0.31,0.19,0.0,0.11,0.32,0.04
67,0.2,0.15,0.5,0.54,0.22,0.26,0.26,0.0,0.0,0.36,0.0
68,0.21,0.23,0.44,0.6,0.03,0.28,0.03,0.0,0.09,0.28,0.0
69,0.22,0.1,0.45,0.6,0.06,0.32,0.11,0.0,0.0,0.21,0.0
70,0.18,0.12,0.51,0.63,0.09,0.34,0.16,0.0,0.07,0.24,0.0
71,0.18,0.12,0.44,0.56,0.07,0.32,0.07,0.0,0.0,0.25,0.0
72,0.18,0.16,0.48,0.52,0.02,0.34,0.17,0.0,0.01,0.28,0.0
73,0.14,0.16,0.43,0.52,0.01,0.32,0.19,0.0,0.0,0.24,0.0
74,0.22,0.16,0.45,0.53,0.01,0.31,0.2,0.01,0.0,0.26,0.0
75,0.25,0.11,0.53,0.55,0.31,0.33,0.33,0.05,0.1,0.34,0.01
76,0.18,0.16,0.48,0.51,0.31,0.38,0.35,0.09,0.17,0.37,0.0
77,0.24,0.1,0.52,0.54,0.33,0.29,0.33,0.0,0.04,0.4,0.01
78,0.22,0.07,0.52,0.58,0.21,0.27,0.21,0.0,0.0,0.29,0.0
79,0.23,0.11,0.52,0.54,0.28,0.32,0.23,0.0,0.05,0.34,0.02
80,0.2,0.13,0.54,0.57,0.23,0.34,0.16,0.01,0.04,0.33,0.0
81,0.17,0.19,0.42,0.49,0.05,0.25,0.22,0.12,0.16,0.18,0.0
82,0.26,0.23,0.46,0.56,0.06,0.35,0.28,0.09,0.21,0.29,0.02
83,0.2,0.16,0.45,0.54,0.01,0.34,0.18,0.2,0.2,0.32,0.01
84,0.25,0.16,0.48,0.51,0.03,0.24,0.25,0.07,0.27,0.28,0.02
85,0.23,0.11,0.51,0.56,0.23,0.3,0.28,0.01,0.04,0.4,0.0
86,0.2,0.09,0.52,0.52,0.32,0.29,0.35,0.0,0.14,0.36,0.0
87,0.28,0.14,0.51,0.54,0.28,0.32,0.33,0.0,0.08,0.35,0.0
88,0.21,0.15,0.57,0.57,0.26,0.34,0.32,0.01,0.1,0.4,0.01
89,0.24,0.12,0.52,0.55,0.29,0.33,0.32,0.01,0.01,0.34,0.0
90,0.18,0.19,0.53,0.55,0.25,0.31,0.35,0.06,0.12,0.37,0.0
91,0.21,0.16,0.52,0.53,0.26,0.31,0.23,0.0,0.04,0.28,0.0
92,0.17,0.09,0.47,0.55,0.33,0.4,0.23,0.0,0.01,0.34,0.0
93,0.23,0.12,0.5,0.56,0.31,0.4,0.25,0.0,0.02,0.34,0.0
94,0.24,0.13,0.48,0.54,0.18,0.28,0.24,0.0,0.08,0.34,0.0
95,0.19,0.1,0.55,0.55,0.3,0.33,0.22,0.0,0.11,0.45,0.01
96,0.16,0.02,0.47,0.51,0.29,0.31,0.2,0.0,0.1,0.36,0.0
97,0.21,0.09,0.49,0.56,0.17,0.31,0.19,0.01,0.02,0.39,0.01
98,0.23,0.17,0.53,0.55,0.29,0.36,0.33,0.1,0.1,0.39,0.0
99,0.22,0.17,0.52,0.55,0.32,0.35,0.31,0.01,0.17,0.34,0.0
100,0.23,0.13,0.47,0.61,0.29,0.33,0.28,0.0,0.07,0.35,0.0
101,0.21,0.14,0.49,0.52,0.25,0.34,0.22,0.01,0.04,0.28,0.0
102,0.23,0.14,0.47,0.52,0.32,0.29,0.28,0.01,0.07,0.33,0.0
103,0.19,0.11,0.51,0.53,0.29,0.3,0.26,0.01,0.17,0.28,0.0
104,0.2,0.11,0.52,0.52,0.27,0.4,0.23,0.0,0.02,0.23,0.0
105,0.25,0.12,0.52,0.54,0.27,0.28,0.21,0.0,0.04,0.34,0.0
106,0.22,0.09,0.5,0.52,0.23,0.29,0.25,0.0,0.0,0.3,0.0
107,0.2,0.18,0.52,0.54,0.13,0.37,0.17,0.0,0.06,0.34,0.01
108,0.19,0.1,0.49,0.55,0.25,0.32,0.22,0.0,0.14,0.37,0.01
109,0.22,0.16,0.47,0.55,0.18,0.33,0.22,0.01,0.07,0.32,0.03
110,0.23,0.05,0.54,0.54,0.31,0.36,0.31,0.0,0.07,0.34,0.0
111,0.22,0.0,0.52,0.5,0.29,0.35,0.27,0.27,0.24,0.34,0.14
112,0.23,0.04,0.5,0.55,0.31,0.3,0.31,0.26,0.25,0.24,0.09
113,0.22,0.05,0.53,0.55,0.28,0.32,0.3,0.01,0.21,0.36,0.0
114,0.19,0.11,0.5,0.53,0.3,0.36,0.32,0.33,0.23,0.41,0.14
115,0.18,0.04,0.51,0.52,0.3,0.33,0.32,0.29,0.22,0.37,0.14
116,0.31,0.08,0.48,0.55,0.29,0.28,0.32,0.3,0.2,0.32,0.12
117,0.16,0.03,0.52,0.51,0.29,0.31,0.3,0.23,0.17,0.36,0.22
118,0.22,0.06,0.47,0.57,0.27,0.31,0.3,0.26,0.28,0.39,0.15
119,0.2,0.09,0.49,0.55,0.27,0.35,0.29,0.24,0.26,0.32,0.08
120,0.21,0.02,0.56,0.52,0.3,0.33,0.26,0.22,0.21,0.29,0.09
121,0.21,0.07,0.57,0.55,0.31,0.33,0.29,0.27,0.21,0.36,0.1
122,0.16,0.03,0.53,0.54,0.31,0.37,0.27,0.26,0.25,0.37,0.1
123,0.2,0.01,0.47,0.52,0.31,0.33,0.31,0.34,0.15,0.34,0.1
124,0.17,0.06,0.5,0.54,0.31,0.3,0.22,0.22,0.21,0.29,0.13
125,0.23,0.13,0.51,0.55,0.28,0.38,0.35,0.19,0.25,0.34,0.05
126,0.19,0.17,0.52,0.53,0.28,0.33,0.31,0.22,0.31,0.34,0.01
127,0.22,0.05,0.52,0.53,0.31,0.33,0.31,0.17,0.23,0.26,0.08
128,0.23,0.02,0.48,0.51,0.29,0.31,0.27,0.3,0.21,0.32,0.15
129,0.2,0.2,0.51,0.5,0.25,0.35,0.3,0.09,0.04,0.35,0.0
130,0.17,0.15,0.51,0.56,0.22,0.33,0.34,0.2,0.16,0.37,0.0
131,0.25,0.11,0.56,0.54,0.31,0.33,0.32,0.29,0.24,0.35,0.13
132,0.25,0.2,0.51,0.54,0.3,0.38,0.31,0.03,0.03,0.38,0.0
133,0.21,0.02,0.52,0.53,0.32,0.37,0.32,0.23,0.27,0.33,0.03
134,0.24,0.02,0.52,0.54,0.27,0.3,0.3,0.1,0.21,0.38,0.0
135,0.23,0.12,0.55,0.57,0.32,0.28,0.29,0.18,0.18,0.32,0.01
136,0.18,0.04,0.55,0.52,0.3,0.32,0.32,0.26,0.27,0.35,0.0
137,0.18,0.05,0.57,0.53,0.29,0.36,0.31,0.27,0.24,0.35,0.08
138,0.15,0.04,0.53,0.53,0.31,0.37,0.32,0.3,0.16,0.37,0.02
139,0.23,0.09,0.51,0.53,0.3,0.32,0.36,0.3,0.26,0.34,0.23
140,0.25,0.19,0.55,0.55,0.3,0.32,0.3,0.21,0.13,0.31,0.05
141,0.21,0.26,0.48,0.58,0.33,0.37,0.3,0.08,0.0,0.36,0.0
142,0.24,0.16,0.49,0.54,0.29,0.33,0.34,0.13,0.01,0.32,0.0
143,0.19,0.16,0.55,0.53,0.12,0.32,0.3,0.2,0.34,0.29,0.05
144,0.16,0.15,0.53,0.56,0.24,0.33,0.26,0.21,0.24,0.3,0.01
145,0.22,0.16,0.51,0.54,0.27,0.41,0.31,0.28,0.2,0.28,0.04
146,0.26,0.08,0.53,0.51,0.3,0.36,0.38,0.32,0.2,0.33,0.05
147,0.14,0.06,0.48,0.51,0.29,0.34,0.3,0.32,0.16,0.37,0.12
148,0.18,0.09,0.49,0.52,0.29,0.37,0.3,0.32,0.21,0.35,0.14
149,0.23,0.01,0.5,0.55,0.24,0.37,0.28,0.32,0.27,0.29,0.1
150,0.22,0.02,0.53,0.53,0.29,0.31,0.32,0.29,0.22,0.35,0.04
151,0.2,0.03,0.49,0.49,0.3,0.36,0.27,0.3,0.19,0.36,0.09
152,0.0,0.18,0.42,0.56,0.27,0.02,0.2,0.01,0.04,0.0,0.01
153,0.22,0.09,0.51,0.57,0.2,0.41,0.31,0.29,0.29,0.37,0.17
154,0.22,0.1,0.52,0.52,0.18,0.35,0.29,0.35,0.24,0.31,0.15
155,0.25,0.06,0.52,0.56,0.31,0.35,0.29,0.28,0.2,0.35,0.08
156,0.16,0.06,0.52,0.5,0.29,0.37,0.3,0.26,0.2,0.34,0.14
157,0.0,0.05,0.17,0.24,0.23,0.22,0.01,0.0,0.0,0.0,0.01
158,0.25,0.03,0.5,0.53,0.28,0.3,0.25,0.25,0.26,0.33,0.18
159,0.21,0.03,0.53,0.57,0.3,0.33,0.29,0.25,0.25,0.31,0.04
160,0.18,0.0,0.55,0.54,0.31,0.36,0.3,0.27,0.26,0.36,0.02
161,0.19,0.0,0.52,0.52,0.27,0.35,0.29,0.29,0.25,0.34,0.13
162,0.24,0.04,0.5,0.56,0.26,0.33,0.36,0.32,0.19,0.34,0.16
163,0.21,0.03,0.52,0.52,0.28,0.42,0.33,0.24,0.25,0.4,0.05
164,0.21,0.21,0.53,0.54,0.26,0.38,0.25,0.04,0.0,0.32,0.04
165,0.19,0.07,0.5,0.57,0.16,0.36,0.28,0.28,0.21,0.31,0.04
166,0.24,0.02,0.43,0.51,0.28,0.35,0.26,0.29,0.13,0.26,0.14
167,0.27,0.1,0.51,0.52,0.28,0.32,0.23,0.24,0.21,0.32,0.2
168,0.19,0.05,0.51,0.56,0.22,0.4,0.29,0.32,0.27,0.37,0.09
169,0.22,0.09,0.5,0.51,0.31,0.36,0.29,0.28,0.25,0.32,0.18
170,0.22,0.22,0.55,0.52,0.26,0.3,0.31,0.15,0.08,0.25,0.03
171,0.2,0.2,0.46,0.46,0.32,0.28,0.25,0.15,0.13,0.38,0.01
172,0.2,0.1,0.55,0.58,0.16,0.33,0.29,0.31,0.22,0.33,0.09
173,0.22,0.17,0.52,0.56,0.34,0.34,0.3,0.26,0.2,0.31,0.04
174,0.22,0.09,0.51,0.54,0.14,0.36,0.24,0.29,0.2,0.34,0.1
175,0.2,0.16,0.53,0.53,0.22,0.37,0.39,0.22,0.06,0.35,0.01
176,0.22,0.13,0.54,0.54,0.21,0.37,0.35,0.26,0.17,0.37,0.04
177,0.19,0.13,0.53,0.56,0.26,0.33,0.33,0.25,0.28,0.32,0.08
178,0.24,0.19,0.44,0.52,0.3,0.27,0.24,0.11,0.11,0.29,0.0
179,0.24,0.15,0.53,0.55,0.33,0.33,0.3,0.17,0.09,0.35,0.01
180,0.22,0.16,0.5,0.52,0.22,0.33,0.38,0.2,0.23,0.29,0.02
181,0.24,0.06,0.54,0.56,0.23,0.35,0.28,0.05,0.23,0.29,0.0
182,0.23,0.09,0.52,0.55,0.23,0.32,0.33,0.26,0.14,0.4,0.11
183,0.19,0.23,0.52,0.57,0.02,0.36,0.27,0.23,0.29,0.3,0.13
184,0.24,0.1,0.54,0.57,0.15,0.33,0.31,0.24,0.25,0.39,0.03
185,0.21,0.17,0.55,0.53,0.09,0.36,0.38,0.21,0.24,0.3,0.09
186,0.21,0.28,0.52,0.56,0.21,0.36,0.24,0.06,0.0,0.33,0.02
187,0.18,0.23,0.53,0.55,0.23,0.28,0.26,0.04,0.0,0.29,0.01
188,0.23,0.04,0.49,0.56,0.23,0.39,0.33,0.29,0.21,0.33,0.1
189,0.26,0.14,0.53,0.54,0.29,0.27,0.36,0.18,0.14,0.31,0.02
