paraphrase idx,falcon-7b-instruct_acc,mpt-7b-instruct_acc,flan-t5-xl_acc,flan-t5-xxl_acc,t0pp_acc,alpaca-13b_acc,airoboros-13b_acc,nous-hermes-13b_acc,ultralm-13b_acc,vicuna-13b_acc,minotaur-15b_acc
23,0.15,0.1,0.52,0.64,0.0,0.2,0.24,0.02,0.17,0.32,0.0
24,0.14,0.14,0.52,0.62,0.0,0.2,0.16,0.01,0.12,0.25,0.0
25,0.14,0.13,0.54,0.64,0.0,0.22,0.31,0.02,0.13,0.27,0.04
26,0.18,0.15,0.58,0.65,0.0,0.16,0.24,0.09,0.03,0.26,0.01
27,0.16,0.08,0.53,0.64,0.0,0.22,0.27,0.0,0.12,0.28,0.0
28,0.12,0.07,0.52,0.58,0.02,0.2,0.29,0.0,0.0,0.3,0.01
29,0.12,0.14,0.5,0.65,0.05,0.18,0.27,0.03,0.16,0.34,0.0
30,0.2,0.11,0.49,0.61,0.0,0.2,0.31,0.0,0.0,0.33,0.0
31,0.18,0.16,0.49,0.62,0.03,0.18,0.29,0.0,0.13,0.26,0.02
32,0.16,0.11,0.56,0.65,0.02,0.2,0.31,0.01,0.11,0.29,0.03
33,0.14,0.11,0.56,0.61,0.05,0.23,0.3,0.02,0.13,0.25,0.0
34,0.23,0.12,0.5,0.63,0.02,0.18,0.28,0.03,0.15,0.24,0.01
35,0.14,0.06,0.55,0.64,0.02,0.24,0.3,0.03,0.17,0.3,0.0
36,0.18,0.07,0.57,0.66,0.0,0.22,0.26,0.02,0.11,0.3,0.0
37,0.21,0.12,0.5,0.62,0.06,0.23,0.29,0.0,0.15,0.28,0.01
38,0.16,0.06,0.49,0.58,0.0,0.2,0.14,0.0,0.01,0.25,0.02
39,0.18,0.13,0.5,0.61,0.03,0.17,0.26,0.01,0.16,0.3,0.0
40,0.2,0.11,0.55,0.64,0.03,0.22,0.23,0.11,0.22,0.18,0.0
41,0.14,0.05,0.54,0.58,0.02,0.18,0.22,0.0,0.0,0.33,0.0
42,0.15,0.11,0.58,0.63,0.04,0.19,0.24,0.05,0.13,0.3,0.0
43,0.16,0.14,0.52,0.57,0.0,0.18,0.11,0.0,0.0,0.29,0.03
44,0.16,0.09,0.51,0.63,0.0,0.22,0.26,0.0,0.1,0.33,0.0
45,0.21,0.08,0.45,0.6,0.02,0.12,0.12,0.11,0.12,0.16,0.0
46,0.16,0.12,0.55,0.59,0.01,0.2,0.27,0.0,0.0,0.31,0.02
47,0.17,0.17,0.58,0.66,0.0,0.23,0.28,0.0,0.11,0.3,0.0
48,0.1,0.12,0.52,0.64,0.0,0.2,0.26,0.0,0.16,0.31,0.0
49,0.19,0.07,0.52,0.63,0.01,0.21,0.24,0.04,0.16,0.21,0.0
50,0.16,0.14,0.52,0.59,0.01,0.25,0.24,0.0,0.0,0.34,0.01
51,0.16,0.13,0.57,0.62,0.02,0.19,0.3,0.01,0.2,0.28,0.02
52,0.17,0.12,0.45,0.67,0.32,0.16,0.19,0.01,0.04,0.22,0.0
53,0.16,0.11,0.5,0.66,0.25,0.14,0.21,0.0,0.0,0.32,0.0
54,0.14,0.1,0.54,0.67,0.22,0.21,0.17,0.0,0.01,0.28,0.0
55,0.17,0.08,0.5,0.66,0.28,0.17,0.19,0.0,0.0,0.24,0.0
56,0.16,0.14,0.43,0.59,0.02,0.2,0.05,0.0,0.01,0.14,0.01
57,0.19,0.13,0.44,0.58,0.01,0.18,0.0,0.0,0.0,0.24,0.01
58,0.18,0.15,0.43,0.6,0.02,0.19,0.03,0.0,0.0,0.22,0.01
59,0.15,0.14,0.57,0.67,0.33,0.25,0.28,0.0,0.05,0.33,0.0
60,0.16,0.07,0.54,0.66,0.35,0.24,0.29,0.0,0.04,0.36,0.0
61,0.11,0.12,0.57,0.64,0.31,0.23,0.3,0.0,0.01,0.39,0.0
62,0.16,0.11,0.39,0.64,0.04,0.25,0.09,0.01,0.01,0.17,0.02
63,0.17,0.18,0.42,0.58,0.01,0.16,0.01,0.0,0.0,0.13,0.01
64,0.16,0.14,0.43,0.63,0.04,0.22,0.13,0.0,0.02,0.24,0.03
65,0.13,0.15,0.43,0.57,0.02,0.21,0.03,0.0,0.01,0.2,0.02
66,0.16,0.14,0.43,0.63,0.23,0.24,0.2,0.0,0.0,0.3,0.01
67,0.15,0.09,0.48,0.67,0.26,0.21,0.21,0.0,0.0,0.26,0.0
68,0.17,0.12,0.42,0.65,0.29,0.16,0.19,0.0,0.0,0.24,0.01
69,0.17,0.12,0.46,0.62,0.16,0.21,0.18,0.0,0.02,0.36,0.0
70,0.17,0.08,0.47,0.65,0.28,0.2,0.2,0.0,0.0,0.27,0.0
71,0.15,0.15,0.51,0.61,0.11,0.22,0.18,0.0,0.01,0.3,0.01
72,0.15,0.12,0.47,0.68,0.28,0.16,0.21,0.01,0.0,0.24,0.0
73,0.17,0.1,0.53,0.63,0.26,0.18,0.19,0.0,0.0,0.22,0.0
74,0.16,0.16,0.5,0.67,0.28,0.18,0.19,0.01,0.0,0.27,0.01
75,0.17,0.13,0.46,0.66,0.19,0.2,0.18,0.0,0.0,0.21,0.0
76,0.17,0.11,0.52,0.64,0.3,0.2,0.26,0.02,0.01,0.31,0.03
77,0.17,0.05,0.53,0.64,0.35,0.22,0.27,0.04,0.02,0.3,0.02
78,0.17,0.12,0.54,0.63,0.34,0.15,0.22,0.02,0.01,0.31,0.01
79,0.13,0.1,0.54,0.65,0.01,0.23,0.21,0.01,0.0,0.24,0.02
80,0.19,0.09,0.58,0.65,0.22,0.16,0.25,0.0,0.0,0.27,0.0
81,0.14,0.07,0.57,0.65,0.22,0.18,0.26,0.01,0.01,0.29,0.0
82,0.15,0.08,0.5,0.63,0.26,0.2,0.18,0.0,0.0,0.26,0.01
83,0.17,0.03,0.48,0.64,0.32,0.16,0.17,0.0,0.0,0.22,0.0
84,0.18,0.05,0.51,0.64,0.27,0.17,0.2,0.0,0.0,0.28,0.0
85,0.18,0.14,0.55,0.65,0.3,0.2,0.28,0.01,0.02,0.34,0.0
86,0.13,0.14,0.53,0.65,0.34,0.18,0.22,0.0,0.04,0.28,0.0
87,0.14,0.1,0.51,0.64,0.34,0.19,0.28,0.0,0.03,0.34,0.0
88,0.16,0.08,0.54,0.65,0.36,0.24,0.31,0.0,0.01,0.36,0.0
89,0.19,0.14,0.52,0.67,0.32,0.21,0.27,0.0,0.01,0.36,0.01
90,0.18,0.08,0.51,0.64,0.33,0.27,0.26,0.0,0.0,0.22,0.0
91,0.21,0.14,0.52,0.65,0.31,0.26,0.29,0.0,0.01,0.29,0.01
92,0.17,0.08,0.52,0.64,0.16,0.18,0.22,0.02,0.07,0.26,0.0
93,0.15,0.12,0.49,0.65,0.32,0.19,0.26,0.0,0.09,0.31,0.0
94,0.14,0.07,0.52,0.63,0.24,0.24,0.28,0.02,0.0,0.33,0.0
95,0.16,0.09,0.45,0.69,0.29,0.19,0.24,0.0,0.0,0.22,0.01
96,0.17,0.08,0.45,0.65,0.28,0.17,0.14,0.0,0.0,0.27,0.0
97,0.16,0.12,0.48,0.67,0.21,0.16,0.17,0.0,0.0,0.23,0.0
98,0.14,0.11,0.58,0.66,0.32,0.21,0.26,0.0,0.1,0.32,0.0
99,0.15,0.07,0.55,0.64,0.33,0.24,0.27,0.02,0.0,0.35,0.0
100,0.18,0.11,0.56,0.66,0.33,0.21,0.21,0.0,0.01,0.37,0.0
101,0.17,0.08,0.46,0.68,0.25,0.14,0.16,0.0,0.0,0.28,0.0
102,0.16,0.14,0.49,0.65,0.27,0.17,0.2,0.0,0.02,0.28,0.01
103,0.15,0.12,0.55,0.66,0.24,0.19,0.21,0.0,0.0,0.26,0.0
104,0.17,0.05,0.59,0.61,0.14,0.2,0.18,0.0,0.0,0.33,0.0
105,0.15,0.05,0.52,0.62,0.26,0.15,0.18,0.0,0.02,0.34,0.0
106,0.15,0.11,0.55,0.6,0.11,0.19,0.18,0.0,0.0,0.31,0.0
107,0.2,0.08,0.48,0.7,0.0,0.28,0.16,0.0,0.0,0.3,0.0
108,0.13,0.08,0.47,0.64,0.0,0.29,0.21,0.0,0.01,0.32,0.0
109,0.15,0.09,0.46,0.63,0.0,0.25,0.19,0.0,0.01,0.27,0.02
110,0.14,0.07,0.5,0.64,0.29,0.26,0.28,0.0,0.0,0.29,0.0
111,0.17,0.05,0.49,0.66,0.28,0.19,0.26,0.01,0.01,0.32,0.02
112,0.17,0.03,0.45,0.65,0.29,0.24,0.28,0.12,0.2,0.28,0.16
113,0.17,0.0,0.46,0.62,0.31,0.27,0.17,0.12,0.19,0.32,0.11
114,0.11,0.04,0.56,0.66,0.28,0.19,0.28,0.07,0.26,0.3,0.16
115,0.19,0.08,0.54,0.63,0.3,0.19,0.31,0.09,0.26,0.3,0.16
116,0.15,0.02,0.54,0.64,0.31,0.22,0.27,0.11,0.22,0.31,0.06
117,0.14,0.0,0.53,0.64,0.29,0.2,0.25,0.13,0.27,0.3,0.08
118,0.11,0.03,0.54,0.61,0.33,0.22,0.29,0.08,0.21,0.31,0.05
119,0.19,0.04,0.44,0.65,0.31,0.21,0.27,0.12,0.23,0.27,0.11
120,0.17,0.01,0.51,0.66,0.32,0.26,0.25,0.16,0.23,0.3,0.19
121,0.14,0.01,0.58,0.63,0.32,0.21,0.27,0.13,0.23,0.29,0.1
122,0.17,0.09,0.51,0.65,0.29,0.21,0.29,0.11,0.18,0.32,0.09
123,0.17,0.03,0.5,0.63,0.3,0.27,0.29,0.12,0.22,0.3,0.06
124,0.16,0.02,0.51,0.63,0.32,0.22,0.21,0.16,0.24,0.3,0.11
125,0.18,0.05,0.49,0.64,0.3,0.27,0.26,0.1,0.24,0.36,0.11
126,0.16,0.03,0.49,0.64,0.31,0.21,0.31,0.16,0.24,0.32,0.12
127,0.14,0.07,0.54,0.62,0.29,0.26,0.23,0.09,0.24,0.31,0.13
128,0.12,0.03,0.53,0.64,0.27,0.22,0.23,0.16,0.23,0.26,0.08
129,0.17,0.08,0.51,0.65,0.3,0.18,0.29,0.2,0.2,0.3,0.15
130,0.11,0.02,0.51,0.65,0.28,0.2,0.27,0.2,0.23,0.28,0.04
131,0.18,0.06,0.55,0.64,0.32,0.18,0.26,0.16,0.17,0.3,0.03
132,0.14,0.1,0.55,0.64,0.3,0.23,0.25,0.09,0.16,0.31,0.0
133,0.14,0.01,0.54,0.64,0.29,0.26,0.23,0.1,0.17,0.29,0.05
134,0.18,0.17,0.5,0.67,0.29,0.22,0.25,0.0,0.0,0.3,0.01
135,0.16,0.18,0.54,0.65,0.3,0.24,0.29,0.07,0.06,0.32,0.03
136,0.17,0.09,0.53,0.66,0.28,0.2,0.29,0.04,0.03,0.4,0.03
137,0.13,0.17,0.52,0.59,0.01,0.19,0.19,0.07,0.11,0.32,0.02
138,0.16,0.15,0.51,0.63,0.32,0.22,0.22,0.02,0.06,0.34,0.05
139,0.13,0.05,0.53,0.65,0.31,0.24,0.23,0.05,0.24,0.3,0.07
140,0.14,0.16,0.52,0.6,0.32,0.23,0.28,0.02,0.05,0.3,0.01
141,0.14,0.15,0.54,0.64,0.28,0.18,0.27,0.08,0.03,0.29,0.05
142,0.18,0.09,0.54,0.67,0.3,0.19,0.23,0.14,0.21,0.35,0.1
143,0.1,0.06,0.47,0.67,0.3,0.19,0.29,0.14,0.23,0.32,0.04
144,0.17,0.07,0.54,0.67,0.3,0.19,0.23,0.15,0.21,0.28,0.12
145,0.17,0.03,0.55,0.63,0.31,0.25,0.25,0.15,0.2,0.25,0.06
146,0.18,0.17,0.5,0.67,0.32,0.27,0.26,0.05,0.07,0.28,0.04
147,0.15,0.02,0.55,0.64,0.29,0.22,0.24,0.03,0.22,0.31,0.01
148,0.11,0.13,0.45,0.64,0.22,0.21,0.25,0.07,0.22,0.27,0.04
149,0.08,0.05,0.5,0.64,0.29,0.22,0.29,0.16,0.17,0.27,0.12
150,0.15,0.03,0.51,0.69,0.31,0.21,0.25,0.06,0.16,0.29,0.09
151,0.17,0.14,0.48,0.64,0.31,0.21,0.26,0.02,0.0,0.36,0.04
152,0.13,0.05,0.49,0.65,0.28,0.17,0.31,0.09,0.16,0.26,0.03
153,0.16,0.05,0.51,0.65,0.31,0.23,0.3,0.09,0.2,0.33,0.09
154,0.16,0.04,0.51,0.66,0.24,0.15,0.28,0.17,0.2,0.32,0.09
155,0.17,0.0,0.53,0.65,0.34,0.24,0.23,0.25,0.07,0.3,0.01
156,0.18,0.01,0.52,0.65,0.29,0.23,0.26,0.14,0.19,0.25,0.1
157,0.12,0.07,0.5,0.65,0.3,0.27,0.21,0.12,0.21,0.29,0.13
158,0.16,0.06,0.52,0.66,0.3,0.21,0.24,0.15,0.24,0.36,0.14
159,0.11,0.05,0.51,0.67,0.33,0.26,0.24,0.07,0.22,0.31,0.12
160,0.19,0.04,0.47,0.66,0.3,0.25,0.26,0.06,0.22,0.32,0.05
161,0.16,0.04,0.52,0.66,0.3,0.2,0.28,0.11,0.19,0.26,0.09
162,0.16,0.02,0.53,0.66,0.33,0.21,0.29,0.08,0.22,0.31,0.13
163,0.15,0.0,0.51,0.65,0.23,0.19,0.26,0.07,0.21,0.24,0.05
164,0.15,0.12,0.56,0.67,0.3,0.23,0.26,0.01,0.01,0.33,0.05
165,0.16,0.03,0.55,0.64,0.26,0.22,0.23,0.18,0.21,0.32,0.21
166,0.14,0.11,0.49,0.64,0.31,0.18,0.27,0.07,0.07,0.25,0.1
167,0.17,0.02,0.55,0.68,0.25,0.2,0.29,0.16,0.19,0.33,0.03
168,0.14,0.08,0.53,0.65,0.29,0.24,0.23,0.19,0.21,0.34,0.04
169,0.18,0.15,0.51,0.64,0.16,0.22,0.31,0.13,0.2,0.33,0.02
170,0.13,0.19,0.54,0.66,0.26,0.2,0.28,0.06,0.11,0.33,0.02
171,0.15,0.01,0.51,0.65,0.33,0.21,0.23,0.06,0.25,0.33,0.05
172,0.13,0.17,0.5,0.63,0.32,0.19,0.27,0.01,0.0,0.3,0.02
173,0.15,0.04,0.55,0.65,0.12,0.21,0.32,0.13,0.13,0.34,0.01
174,0.16,0.16,0.48,0.59,0.06,0.24,0.2,0.12,0.19,0.31,0.02
175,0.13,0.13,0.5,0.66,0.25,0.21,0.24,0.09,0.27,0.31,0.09
176,0.19,0.06,0.53,0.65,0.26,0.24,0.2,0.04,0.21,0.31,0.07
177,0.15,0.16,0.57,0.65,0.3,0.18,0.28,0.11,0.2,0.29,0.05
178,0.18,0.15,0.53,0.64,0.32,0.2,0.26,0.03,0.11,0.32,0.07
179,0.15,0.14,0.58,0.63,0.19,0.25,0.25,0.12,0.21,0.35,0.08
180,0.18,0.18,0.51,0.67,0.29,0.2,0.24,0.17,0.21,0.37,0.07
181,0.13,0.03,0.49,0.66,0.28,0.24,0.28,0.14,0.21,0.31,0.03
182,0.16,0.17,0.52,0.67,0.34,0.27,0.23,0.02,0.0,0.31,0.02
183,0.15,0.03,0.52,0.64,0.27,0.31,0.25,0.1,0.23,0.28,0.06
184,0.17,0.08,0.57,0.66,0.22,0.27,0.23,0.08,0.19,0.32,0.01
185,0.1,0.19,0.55,0.68,0.16,0.25,0.27,0.03,0.24,0.28,0.03
186,0.13,0.1,0.53,0.64,0.19,0.18,0.21,0.13,0.28,0.35,0.04
